No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
4823|WISEA J144011.26+011054.4|220.04708 |   1.18222 |*|899892| 3.001716 |SLS |21.2g|  0.000|8|0|17|4|3|4|0
4824|WISEA J144033.04+104303.6|220.13772 |  10.71782 |QSO|903706| 3.014438 |SLS |20.1g|  0.000|29|0|42|9|16|8|0
4825|WISEA J144041.64+073224.5|220.17346 |   7.54013 |*|899477| 3.000333 |SLS |19.7g|  0.000|9|0|17|6|5|4|0
4826|WISEA J144059.64+420403.7|220.24854 |  42.06770 |QSO|909017| 3.032153 |SLS |20.3g|  0.000|29|0|39|9|14|8|0
4827|PHz G357.71+55.83|220.29300 |   5.10234 |RadioS|899378| 3.000000 |PUN |     |  0.000|1|0|4|1|1|0|0
4828|WISEA J144114.67+345605.5|220.31116 |  34.93487 |QSO|910427| 3.036858 |SLS |19.8g|  0.000|34|0|38|10|16|8|0
4829|WISEA J144119.73+605557.4|220.33223 |  60.93262 |*|907139| 3.025891 |SLS |21.4g|  0.000|3|0|17|3|1|4|0
4830|WISEA J144140.31+553229.3|220.41805 |  55.54162 |*|911882| 3.041711 |SLS |21.0g|  0.000|2|0|17|3|2|4|0
4831|WISEA J144144.57+545031.6|220.43572 |  54.84212 |*|912868| 3.045000 |PUN |22.5g|  0.000|2|0|17|2|1|4|0
4832|WISEA J144153.51+454245.4|220.47298 |  45.71263 |QSO|910288| 3.036395 |SLS |19.6g|  0.000|30|0|38|9|13|8|0
4833|WISEA J144200.97+253517.6|220.50407 |  25.58825 |QSO|901335| 3.006530 |SLS |20.2g|  0.000|19|0|22|5|10|4|0
4834|WISEA J144205.21+463608.6|220.52149 |  46.60258 |*|909195| 3.032749 |SLS |21.7g|  0.000|3|0|17|3|1|4|0
4835|WISEA J144217.71+125016.0|220.57380 |  12.83779 |*|907796| 3.028080 |SLS |20.0g|  0.000|5|0|17|3|1|3|0
4836|WISEA J144233.14+240929.8|220.63883 |  24.15807 |*|912868| 3.045000 |PUN |21.7g|  0.000|2|0|17|2|1|4|0
